Cluster,Creative_Style,Cluster_Size
Cluster_1,"Risk Averse, Hate Distractions, Externally Motivated, Routine Seeker, Make It Happen",1980
Cluster_3,"Risk Friendly, Stifled By Constraints, Novelty Seeker, Internally Motivated, Let It Happen",1745
Cluster_7,"Novelty Seeker, Risk Friendly, Love Distractions, Multitasker, Collaborator",1352
Cluster_9,"Solo Creator, Internally Motivated, Monotasker, Private, Stifled By Constraints",1313
Cluster_2,"Stimulated By Constraints, Collaborator, Outwardly Inspired, Risk Friendly, Multitasker",1032
Cluster_8,"Monotasker, Novelty Seeker, Silence, Solo Creator, Hate Distractions",691
Cluster_0,"Noise/Music, Solo Creator, Night Owl, Stifled By Constraints, Pragmastist",297
Cluster_10,"Multitasker, Silence, Collaborator, Novelty Seeker, Generalist",280
Cluster_6,"Stifled By Constraints, Make It Happen, Routine Seeker, Reframer, Generalist",218
Cluster_12,"Solo Creator, Outwardly Inspired, Controlled Chaos, Night Owl, Let It Happen",201
Cluster_4,"Risk Averse, Collaborator, Novelty Seeker, Externally Motivated, Public",158
Cluster_5,"Stimulated By Constraints, Inwardly Inspired, Risk Friendly, Night Owl, Hate Distractions",103
